NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
St. Rose of Lima Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Rose of Lima Junior High School,2419 50 Street NE,Calgary,AB,Elementary/Junior High,N,Provincial Data,8722,N,Y,Y,N,2/28/2021,T1Y1Z5,1383019,-113.9622789,51.07580057,"(51.075800571837206, -113.9622788812109)"
St. Sebastian Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Sebastian Elementary School,65 Chaparal Drive SE,Calgary,AB,Elementary,N,Provincial Data,1339,N,Y,N,N,2/28/2021,T2X0E6,1541829,-114.029127,50.88484306,"(50.88484305777542, -114.02912703464114)"
Ron Southern,The Calgary School Division,Public School,Ron Southern School,483 Silverado Blvd. SW,Calgary,AB,Elementary,N,Provincial Data,2146,N,Y,N,N,2/28/2021,T2X2E2,2393067,-114.0856882,50.88093182,"(50.880931820329465, -114.08568823295765)"
Northern Lights,The Calgary School Division,Public School,Northern Lights School,711 Coventry Drive NE,Calgary,AB,Unknown,N,Provincial Data,2282,N,N,N,N,2/28/2021,,2523069,-114.0469265,51.15761631,"(51.15761631065638, -114.04692651072814)"
Emily Follensbee,The Calgary School Division,Public School,Emily Follensbee School,5139 - 14 Street S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9036,N,Y,Y,N,2/28/2021,T2T3W5,1384216,-114.0955749,51.00763587,"(51.00763587229926, -114.09557493147044)"
St. Thomas More,The Calgary Roman Catholic Separate School Division,Separate School,St. Thomas More School,6110 Temple Drive N.E.,Calgary,AB,Elementary,N,Provincial Data,8544,N,Y,N,N,2/28/2021,T1Y5V4,1382345,-113.9455347,51.08541163,"(51.08541163416477, -113.94553473384163)"
Access Academy,Access International College (Calgary) Incorporated,Private School,Access Academy,B1 - 2451 Dieppe Avenue S.W. Box 100,Calgary,AB,Senior High,N,Provincial Data,1271,N,N,N,Y,2/28/2021,T3E7K1,1379081,-114.1190388,51.01928658,"(51.01928658422201, -114.1190387515867)"
New Heights School and Learning Services,New Heights School and Learning Services Society,Private School,New Heights School and Learning Services,2521 Dieppe Ave SW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,432,N,Y,Y,Y,2/28/2021,T3E7M1,1378965,-114.1221707,51.01847359,"(51.018473585992034, -114.12217065198476)"
Dr. E. P. Scarlett High,The Calgary School Division,Public School,Dr. E. P. Scarlett High School,220 Canterbury Drive S.W.,Calgary,AB,Senior High,N,Provincial Data,9858,N,N,N,Y,2/28/2021,T2W1H4,1382810,-114.0879719,50.94878736,"(50.94878736293795, -114.08797194873132)"
St. Cecilia (Bilingual) Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Cecilia (Bilingual) Elementary School,610 Agate Crescent S.E.,Calgary,AB,Elementary,N,Provincial Data,8513,N,Y,N,N,2/28/2021,T2J0Z3,1382891,-114.0504111,50.96529608,"(50.96529608232206, -114.05041110280098)"
Midpark Writing Centre,The East Central Alberta Catholic Separate School Division,Separate School,Midpark Writing Centre,"#305, 295 Midpark Way SE",Calgary,AB,Unknown,N,Provincial Data,2279,N,N,N,N,2/28/2021,T2X2A8,1551635,-114.0622404,50.90932823,"(50.90932823045676, -114.06224040398533)"
Fish Creek,The Calgary School Division,Public School,Fish Creek School,1039 Suncastle Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,9384,N,Y,N,N,2/28/2021,T2X2Z1,1382187,-114.0328114,50.90150514,"(50.90150513872721, -114.0328113894865)"
St. Angela Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Angela Elementary,231 - 6 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,8510,N,Y,N,N,2/28/2021,T2E3Y1,1382141,-114.0488198,51.05442193,"(51.05442192946914, -114.04881975336572)"
Master's College,The Palliser School Division,Public School,Master's College,4414 Crowchild Trail SW,Calgary,AB,Junior High/Senior High,N,Provincial Data,1562,N,N,Y,Y,2/28/2021,T2T5J4,1382281,-114.1165459,51.01530238,"(51.015302380710715, -114.11654589992118)"
Holy Name (Bilingual),The Calgary Roman Catholic Separate School Division,Separate School,Holy Name (Bilingual) School,3011 - 35 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,8504,N,Y,N,N,2/28/2021,T3E2Y7,1382510,-114.1390036,51.02827189,"(51.028271889718965, -114.13900360215796)"
CBe - Learn,The Calgary School Division,Public School,CBe - Learn,2336 53 Avenue S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1064,N,Y,Y,Y,2/28/2021,T3E1L2,1382201,-114.1139277,51.00651691,"(51.00651691168754, -114.1139277191071)"
Calgary Waldorf,Calgary Waldorf School Society,Private School,Calgary Waldorf School,515 Cougar Ridge Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9949,N,Y,Y,N,2/28/2021,T3H5G9,1383008,-114.2183262,51.07234939,"(51.0723493859737, -114.21832624014894)"
Wood's Homes,The Calgary School Division,Public School,Wood's Homes School,805 37 ST NW,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9035,N,Y,Y,Y,2/28/2021,T3B2B2,1404525,-114.2242283,51.09609805,"(51.09609805273075, -114.22422827854751)"
Nellie McClung,The Calgary School Division,Public School,Nellie McClung School,2315 Palliser Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9333,N,Y,N,N,2/28/2021,T2V3S4,1382593,-114.1130138,50.9684953,"(50.96849530124367, -114.11301375569617)"
SAIT - Main Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2/28/2021,,1382335,-114.0892724,51.0645151,"(51.0645150986753, -114.08927241599774)"
Eugene Coste,The Calgary School Division,Public School,Eugene Coste School,10 Hillgrove Crescent S.W.,Calgary,AB,Elementary,N,Provincial Data,9311,N,Y,N,N,2/28/2021,T2V3K7,1523788,-114.0869778,50.96788958,"(50.9678895839828, -114.08697778927161)"
Mount View,The Calgary School Division,Public School,Mount View School,2004 - 4 Street N.E.,Calgary,AB,Elementary,N,Provincial Data,9224,N,Y,N,N,2/28/2021,T2E3T8,1381135,-114.0520619,51.06962544,"(51.06962543685194, -114.05206189484613)"
Ted Harrison,The Calgary School Division,Public School,Ted Harrison School,215 Taravista Way N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,1677,N,Y,Y,N,2/28/2021,T3J4L1,1545880,-113.9282542,51.11723275,"(51.11723275110432, -113.92825420850842)"
Silver Springs,The Calgary School Division,Public School,Silver Springs School,7235 Silvermead Road N.W.,Calgary,AB,Elementary,N,Provincial Data,9256,N,Y,N,N,2/28/2021,T3B3V1,1383143,-114.1908255,51.10571021,"(51.10571020799481, -114.19082549567275)"
St. Cyril,The Calgary Roman Catholic Separate School Division,Separate School,St. Cyril School,2990 Cedarbrae Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8723,N,Y,Y,N,2/28/2021,T2W2N9,1382812,-114.1285219,50.95549347,"(50.95549347429258, -114.12852189420211)"
Blessed Marie-Rose,The Calgary Roman Catholic Separate School Division,Separate School,Blessed Marie-Rose,999 Sherwood Blvd. NW,Calgary,AB,Elementary/Junior High,N,Provincial Data,2195,N,Y,Y,N,2/28/2021,T3R1M9,2445030,-114.1483237,51.15988954,"(51.15988954389629, -114.14832373726934)"
Acadia,The Calgary School Division,Public School,Acadia School,9603 - 5 Street S.E.,Calgary,AB,Elementary,N,Provincial Data,9300,N,Y,N,N,2/28/2021,T2J1K4,1382272,-114.0539269,50.96761062,"(50.96761061880766, -114.05392686139447)"
Belvedere Parkway,The Calgary School Division,Public School,Belvedere Parkway School,4631 - 85 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9110,N,Y,N,N,2/28/2021,T3B2R8,1384089,-114.2115592,51.09271682,"(51.092716824105224, -114.21155915982997)"
Monsignor A. J. Hetherington Elementary,The Calgary Roman Catholic Separate School Division,Separate School,Monsignor A. J. Hetherington Elementary School,4 Coral Springs Boulevard N.E,Calgary,AB,Elementary,N,Provincial Data,8557,N,Y,N,N,2/28/2021,T3J3J3,1383223,-113.9340476,51.0995523,"(51.09955230311567, -113.93404761108852)"
Colonel Macleod,The Calgary School Division,Public School,Colonel Macleod School,1610 - 6 Street N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9620,N,Y,Y,N,2/28/2021,T2E3Y9,1523917,-114.0476454,51.06618282,"(51.066182816000925, -114.04764537501224)"
Hidden Valley,The Calgary School Division,Public School,Hidden Valley School,10959 Hidden Valley Drive NW,Calgary,AB,Elementary,N,Provincial Data,535,N,Y,N,N,2/28/2021,T3A6J2,1383732,-114.11959,51.15025376,"(51.150253759187706, -114.11958995850408)"
Bishop O'Byrne High,The Calgary Roman Catholic Separate School Division,Separate School,Bishop O'Byrne High School,Suite 500 333 Shawville Boulevard S.E.,Calgary,AB,Senior High,N,Provincial Data,581,N,N,N,Y,2/28/2021,T2Y4H3,1559224,-114.0645668,50.89809185,"(50.89809184871791, -114.06456676845627)"
Midsun,The Calgary School Division,Public School,Midsun School,660 Sunmills Drive S.E.,Calgary,AB,Junior High,N,Provincial Data,348,N,N,Y,N,2/28/2021,T2X3R5,1382959,-114.0309154,50.90184947,"(50.9018494706971, -114.03091536794537)"
Don Bosco,The Calgary Roman Catholic Separate School Division,Separate School,Don Bosco School,13615 Deer Ridge Drive S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8727,N,Y,Y,N,2/28/2021,T2J6S7,1382581,-114.0182527,50.93130069,"(50.93130069103458, -114.01825265681849)"
Bishop Carroll High,The Calgary Roman Catholic Separate School Division,Separate School,Bishop Carroll High School,4624 Richard Road S.W.,Calgary,AB,Senior High,N,Provincial Data,8905,N,N,N,Y,2/28/2021,T3E6L1,1382203,-114.1207915,51.01269364,"(51.012693638631966, -114.1207914767149)"
Calgary International Academy,Calgary International Academy Ltd,Private School,Calgary International Academy,450 Royal Oak Drive NW,Calgary,AB,Unknown,N,Provincial Data,2319,N,N,N,N,2/28/2021,T3G5J7,1369214,-114.231867,51.13911895,"(51.13911894947999, -114.23186704536128)"
St. Gianna,The Calgary Roman Catholic Separate School Division,Separate School,St. Gianna School,800 Auburn Bay Blvd SE,Calgary,AB,Unknown,N,Provincial Data,2328,N,N,N,N,2/28/2021,T3M0H7,2554793,-113.968031,50.89551366,"(50.895513663213784, -113.96803098305986)"
Patrick Airlie,The Calgary School Division,Public School,Patrick Airlie School,1520 - 39 Street S.E.,Calgary,AB,Elementary,N,Provincial Data,9327,N,Y,N,N,2/28/2021,T2A1H9,1382540,-113.9767839,51.03991139,"(51.0399113879906, -113.97678385146888)"
McKenzie Towne,The Calgary School Division,Public School,McKenzie Towne School,679 Prestwick Cir. SE,Calgary,AB,Elementary,N,Provincial Data,1463,N,Y,N,N,2/28/2021,T2Z0V3,1382260,-113.9667175,50.92704874,"(50.92704873588532, -113.96671748554316)"
Bishop Grandin High,The Calgary Roman Catholic Separate School Division,Separate School,Bishop Grandin High School,111 Haddon Road S.W.,Calgary,AB,Senior High,N,Provincial Data,8901,N,N,N,Y,2/28/2021,T2V2Y2,1382278,-114.078741,50.97543777,"(50.97543776970401, -114.07874097705144)"
Tyndale Christian,The Canadian Reformed School Society of Calgary,Private School,Tyndale Christian School,28 Hart Estates Blvd. NE,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9984,N,Y,Y,Y,2/28/2021,T1X0L3,1370057,-113.8677457,51.05863393,"(51.05863392955397, -113.86774569469964)"
St. Anne Academic Centre,The Calgary Roman Catholic Separate School Division,Separate School,St. Anne Academic Centre,1010 - 21 Avenue S.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,8906,N,Y,Y,Y,2/28/2021,T2G1N2,1377733,-114.0389181,51.03513931,"(51.0351393071435, -114.0389180825648)"
Nickle,The Calgary School Division,Public School,Nickle School,2500 Lake Bonavista Drive S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9654,N,Y,Y,N,2/28/2021,T2J2Y6,1382503,-114.0614348,50.94073673,"(50.94073672753453, -114.0614347688689)"
Valley View,The Calgary School Division,Public School,Valley View School,4105 - 26 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9330,N,Y,N,N,2/28/2021,T2B0C6,1382515,-113.9752778,51.03005456,"(51.03005455728048, -113.97527782957785)"
Discovering Choices,The Calgary School Division,Public School,Discovering Choices,"206, 315 - 10 Avenue S.E.",Calgary,AB,Senior High,N,Provincial Data,9868,N,N,N,Y,2/28/2021,T2G0W2,1428383,-114.0566933,51.04287051,"(51.04287050666238, -114.05669326024136)"
Andrew Sibbald,The Calgary School Division,Public School,Andrew Sibbald School,1711 Lake Bonavista Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,9336,N,Y,N,N,2/28/2021,T2J2X9,1382262,-114.0408775,50.9351786,"(50.93517859980567, -114.04087754808961)"
G.W. Skene,The Calgary School Division,Public School,G.W. Skene School,6226 Penbrooke Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,9351,N,Y,N,N,2/28/2021,T2A6M7,1382840,-113.9452208,51.04562487,"(51.045624869971036, -113.94522078882876)"
Monsignor Neville Anderson,The Calgary Roman Catholic Separate School Division,Separate School,Monsignor Neville Anderson School,327 Sandarac Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,8554,N,Y,N,N,2/28/2021,T3K4B2,1369106,-114.1041066,51.13915085,"(51.139150846548524, -114.10410656293693)"
Northwest Elementary Campus,Foundations for the Future Charter Academy Charter School Society,Charter,Northwest Elementary Campus,719-44 Ave NW,Calgary,AB,Elementary,N,Provincial Data,1350,N,Y,N,N,2/28/2021,T2K0J5,1383135,-114.0780594,51.09317275,"(51.09317274628622, -114.07805940986351)"
School of East Indian Languages and Performing Arts,School of East Indian Languages and Performing Arts of Calgary,Private School,School of East Indian Languages and Performing Arts,376 Silverado Boulevard SW,Calgary,AB,Unknown,N,Provincial Data,1750,N,N,N,N,2/28/2021,T2X0N9,1010066,-114.0875454,50.88374152,"(50.88374151674002, -114.08754537727738)"
Glenbrook,The Calgary School Division,Public School,Glenbrook School,4725 - 33 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9122,N,Y,N,N,2/28/2021,T3E3V1,1382605,-114.1549975,51.0235114,"(51.02351140240388, -114.15499749200283)"
St. Rita,The Calgary Roman Catholic Separate School Division,Separate School,St. Rita School,7811 Ranchview Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,8547,N,Y,N,N,2/28/2021,T3G2B3,1383514,-114.1817531,51.11986617,"(51.11986616559314, -114.18175305777368)"
Connect Charter,Connect Charter School Society,Charter,Connect Charter School,5915 Lewis Drive S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,335,N,Y,Y,N,2/28/2021,T3E5Z4,1382207,-114.1357584,51.00037352,"(51.00037352179326, -114.13575842481704)"
W.H.Cushing Workplace,The Calgary School Division,Public School,W.H.Cushing Workplace School,130 - 7 Avenue S.W.,Calgary,AB,Unknown,N,Provincial Data,9387,N,N,N,N,2/28/2021,T2P1M6,1005433,-114.0649132,51.04682403,"(51.046824030044775, -114.06491320568084)"
Monterey Park,The Calgary School Division,Public School,Monterey Park School,"7400 California Blvd., N.E.",Calgary,AB,Elementary,N,Provincial Data,538,N,Y,N,N,2/28/2021,T1Y6R2,1382338,-113.9304829,51.07742466,"(51.0774246581365, -113.93048288719478)"
St. Sylvester,The Calgary Roman Catholic Separate School Division,Separate School,St. Sylvester School,7318 Silver Springs Blvd NW.,Calgary,AB,Elementary,N,Provincial Data,8537,N,Y,N,N,2/28/2021,T3B4N1,1383144,-114.1943777,51.10924676,"(51.109246762473006, -114.19437774862719)"
Alex Munro,The Calgary School Division,Public School,Alex Munro School,427 - 78 Avenue N.E.,Calgary,AB,Elementary,N,Provincial Data,9261,N,Y,N,N,2/28/2021,T2K0R9,1383295,-114.0613952,51.12064736,"(51.1206473585467, -114.06139516454988)"
Colonel Walker,The Calgary School Division,Public School,Colonel Walker School,1921 - 9 Avenue S.E.,Calgary,AB,Elementary,N,Provincial Data,9602,N,Y,N,N,2/28/2021,T2G0V3,1382524,-114.0190347,51.034362,"(51.03436199575539, -114.01903473833345)"
Beddington Heights,The Calgary School Division,Public School,Beddington Heights School,95 Bermuda Road N.W.,Calgary,AB,Elementary,N,Provincial Data,9372,N,Y,N,N,2/28/2021,T3K2J6,1383517,-114.0793929,51.13174563,"(51.131745631212304, -114.07939291470615)"
CLS Lord Beaverbrook Writing Centre,The Calgary School Division,Public School,CLS Lord Beaverbrook Writing Centre,9019 Fairmount Dr.  S.E.,Calgary,AB,Unknown,N,Provincial Data,2245,N,N,N,N,2/28/2021,T2H0Z4,1413860,-114.0616396,50.97309982,"(50.97309981986913, -114.06163955901133)"
SAIT - Mayland Heights Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2/28/2021,T2E0A7,1613476,-114.0094141,51.05300229,"(51.05300228573233, -114.00941407937988)"
Dr. Gordon Higgins,The Calgary School Division,Public School,Dr. Gordon Higgins School,155 Rundlehill Drive N.E.,Calgary,AB,Junior High,N,Provincial Data,9346,N,N,Y,N,2/28/2021,T1Y2W9,1383017,-113.970664,51.07526967,"(51.07526966806715, -113.97066403346369)"
Sir Winston Churchill High,The Calgary School Division,Public School,Sir Winston Churchill High School,5220 Northland Drive N.W.,Calgary,AB,Senior High,N,Provincial Data,9857,N,N,N,Y,2/28/2021,T2L2J6,1383224,-114.13999,51.1001127,"(51.10011269545306, -114.1399900255147)"
Crescent Heights High,The Calgary School Division,Public School,Crescent Heights High School,1019 1 St NW,Calgary,AB,Senior High,N,Provincial Data,9815,N,N,N,Y,2/28/2021,T2M2S2,1381146,-114.0660914,51.0614898,"(51.061489799005365, -114.06609142025192)"
St. Jerome Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Jerome Elementary School,11616 Panorama Hills Blvd NW,Calgary,AB,Elementary,N,Provincial Data,1340,N,Y,N,N,2/28/2021,T3K5S3,1413750,-114.0792827,51.15771116,"(51.15771115650426, -114.07928272233974)"
St. Teresa of Calcutta,The Calgary Roman Catholic Separate School Division,Separate School,St. Teresa of Calcutta School,121 Midlake Boulevard S.E.,Calgary,AB,Elementary,N,Provincial Data,8542,N,Y,N,N,2/28/2021,T2X1T7,1541834,-114.0521172,50.9144204,"(50.91442040220934, -114.05211722125307)"
St. Ambrose,The Calgary Roman Catholic Separate School Division,Separate School,St. Ambrose School,1500 Arbour Lake Road N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,390,N,Y,Y,N,2/28/2021,T3G4X9,1383685,-114.2061636,51.13347038,"(51.133470377570035, -114.20616360617926)"
St. Vincent De Paul Elementary Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Vincent De Paul Elementary Junior High School,4525 - 49 Street N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8528,N,Y,Y,N,2/28/2021,T3A0K4,1383214,-114.1597997,51.09314463,"(51.09314462573173, -114.15979968340648)"
St. Alphonsus Elementary Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Alphonsus Elementary Junior High School,928 Radnor Avenue N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8706,N,Y,Y,N,2/28/2021,T2E5H5,1381398,-114.041415,51.06473357,"(51.06473357370605, -114.04141498879153)"
Palliser Beyond Borders at Calgary,The Palliser School Division,Public School,Palliser Beyond Borders at Calgary,Suite 120 2635 - 37 Avenue,Calgary,AB,Senior High,N,Provincial Data,2000,N,N,N,Y,2/28/2021,T1Y5Z6,1374023,-113.9990423,51.08611443,"(51.08611442747151, -113.99904232831223)"
Wildwood,The Calgary School Division,Public School,Wildwood School,120 - 45 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,9141,N,Y,N,N,2/28/2021,T3C2B3,1382147,-114.1521166,51.05158955,"(51.051589548502776, -114.15211656431998)"
St. Martha,The Calgary Roman Catholic Separate School Division,Separate School,St. Martha School,6020 - 4 Avenue N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8725,N,Y,Y,N,2/28/2021,T2A4B1,1382142,-113.9456359,51.05654329,"(51.05654329041374, -113.94563587763996)"
Battalion Park,The Calgary School Division,Public School,Battalion Park School,369 Sienna Park Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,537,N,Y,N,N,2/28/2021,T3H4S2,1382205,-114.181901,51.02356691,"(51.02356690676368, -114.18190103907412)"
Thorncliffe,The Calgary School Division,Public School,Thorncliffe School,5646 Thornton Road N.W.,Calgary,AB,Elementary,N,Provincial Data,9235,N,Y,N,N,2/28/2021,T2K3B9,1383226,-114.0670966,51.10232312,"(51.102323120870786, -114.06709661253234)"
Chaparral,The Calgary School Division,Public School,Chaparral School,480 Chaparral Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,1331,N,Y,N,N,2/28/2021,T2X3S2,1382954,-114.0449682,50.88296401,"(50.88296400573551, -114.04496821491277)"
Madeleine D' Houet Bilingual,The Calgary Roman Catholic Separate School Division,Separate School,Madeleine D' Houet Bilingual School,108 - 22 Street N.W.,Calgary,AB,Junior High,N,Provincial Data,8728,N,N,Y,N,2/28/2021,T2N2M8,1382140,-114.1122383,51.05319361,"(51.05319360710658, -114.11223830140213)"
Horizon Leadership Academy,The Palliser School Division,Public School,Horizon Leadership Academy,Building B4 Battleford Ave. SW,Calgary,AB,Elementary/Junior High,N,Provincial Data,2164,N,Y,Y,N,2/28/2021,T3E7K9,1378961,-114.1190467,51.01764438,"(51.01764438107176, -114.11904669688714)"
Westmount Elementary,Westmount Charter School Society,Charter,Westmount Elementary School,728 - 32 Street NW,Calgary,AB,Elementary,N,Provincial Data,1580,N,Y,N,N,2/28/2021,T2N2V9,1381383,-114.1314284,51.05814762,"(51.05814762026256, -114.13142837423598)"
River Valley,River Valley School Society,Private School,River Valley School,3127 Bowwood Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9921,N,Y,N,N,2/28/2021,T3B2E7,1376234,-114.1743441,51.07946941,"(51.079469412856646, -114.1743440902455)"
St. Benedict,The Calgary Roman Catholic Separate School Division,Separate School,St. Benedict School,10340 - 19 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,8511,N,Y,N,N,2/28/2021,T2V1R2,1382889,-114.105447,50.9619937,"(50.96199369993084, -114.10544704958049)"
CLS Lord Shaughnessy Writing Centre,The Calgary School Division,Public School,CLS Lord Shaughnessy Writing Centre,2336 53 Ave SW,Calgary,AB,Unknown,N,Provincial Data,2247,N,N,N,N,2/28/2021,T3E1L2,1382201,-114.1139277,51.00651691,"(51.00651691168754, -114.1139277191071)"
Dr. Martha Cohen,The Calgary School Division,Public School,Dr. Martha Cohen School,116 Brightondale Park SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,2070,N,Y,Y,N,2/28/2021,T2Z0V1,2365833,-113.9447324,50.91709892,"(50.917098922858074, -113.94473240405907)"
The Third Academy,Third Academy International Ltd.,Private School,The Third Academy,"3,510-77th Ave SE",Calgary,AB,Elementary,N,Provincial Data,31,N,Y,N,N,2/28/2021,T2H1C3,1524220,-114.0514595,50.98512208,"(50.985122075718856, -114.05145948026848)"
Brentwood,The Calgary School Division,Public School,Brentwood School,1231 Northmount Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9204,N,Y,N,N,2/28/2021,T2L0C9,1384057,-114.123858,51.09048945,"(51.09048945085876, -114.12385799387793)"
Sainte Marguerite Bourgeoys,The Southern Francophone Education Region,Francophone,Sainte Marguerite Bourgeoys,4700 Richard Road S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,8707,N,Y,Y,Y,2/28/2021,T3E6L1,1382209,-114.1215832,51.01113758,"(51.01113758331657, -114.12158318595125)"
Connaught,The Calgary School Division,Public School,Connaught School,1121 - 12 Avenue S.W.,Calgary,AB,Elementary,N,Provincial Data,9114,N,Y,N,N,2/28/2021,T2R0J8,1371115,-114.0877162,51.04153268,"(51.04153267872708, -114.08771615458427)"
St. Basil Elementary/Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Basil Elementary/Junior High School,919 Tuscany Drive NW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1337,N,Y,Y,N,2/28/2021,T3L2T5,1370763,-114.2503348,51.11941379,"(51.11941379223034, -114.25033475797811)"
Rideau Park,The Calgary School Division,Public School,Rideau Park School,829 Rideau Road S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9610,N,Y,Y,N,2/28/2021,T2S0S2,1382504,-114.0755637,51.02527662,"(51.02527662184848, -114.07556374150774)"
St. James Elementary Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. James Elementary Junior High School,2227 - 58 Avenue S.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8712,N,Y,Y,N,2/28/2021,T3E1N6,1382913,-114.1136684,51.00114196,"(51.00114196235012, -114.11366841075207)"
Montessori School of Calgary,Montessori School of Calgary,Private School,Montessori School of Calgary,2201 Cliff Street S.W.,Calgary,AB,Elementary,N,Provincial Data,254,N,Y,N,N,2/28/2021,T2S2G4,1000958,-114.0760776,51.03336102,"(51.033361015610076, -114.07607763566237)"
St. Joseph Elementary Junior High,The Calgary Roman Catholic Separate School Division,Separate School,St. Joseph Elementary Junior High School,2512 - 5 Street N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8713,N,Y,Y,N,2/28/2021,T2M3C7,1380561,-114.0733169,51.07478657,"(51.07478657353867, -114.07331692234882)"
Maria Montessori,"Maria Montessori Education Centre of Calgary, Ltd.",Private School,Maria Montessori School,Chief Crowfoot School 2634 12 Ave NW,Calgary,AB,Elementary/Junior High,N,Provincial Data,1410,N,Y,Y,N,2/28/2021,T2N1K6,1382328,-114.1235826,51.0627098,"(51.062709800784496, -114.12358261792069)"
Arbour Lake Middle,The Calgary School Division,Public School,Arbour Lake Middle School,27 Arbour Crest Drive N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,1330,N,Y,Y,N,2/28/2021,T3G4H3,1383727,-114.2091772,51.13465099,"(51.134650992250656, -114.20917723339107)"
Foothills Academy,Foothills Academy Society,Private School,Foothills Academy,745 - 37 Street N.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9917,N,Y,Y,Y,2/28/2021,T2N4T1,1005422,-114.1423066,51.06407216,"(51.06407215998721, -114.14230655126)"
Edgemont,The Calgary School Division,Public School,Edgemont School,55 Edgevalley Circle N.W.,Calgary,AB,Elementary,N,Provincial Data,9379,N,Y,N,N,2/28/2021,T3A4X1,1383683,-114.1435785,51.12888867,"(51.12888867329876, -114.14357851083264)"
John Costello Catholic,The Calgary Roman Catholic Separate School Division,Separate School,John Costello Catholic School,300 Strathcona Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,8558,N,Y,N,N,2/28/2021,T3H1N9,1382929,-114.1807075,51.04883256,"(51.048832562456994, -114.18070747903394)"
St. John XXIII,The Calgary Roman Catholic Separate School Division,Separate School,St. John XXIII School,1420 Falconridge Drive N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8726,N,Y,Y,N,2/28/2021,T3J2C3,1383225,-113.9389781,51.10140502,"(51.10140502271283, -113.93897805382171)"
Hillhurst,The Calgary School Division,Public School,Hillhurst School,1418 - 7 Avenue N.W.,Calgary,AB,Elementary,N,Provincial Data,9218,N,Y,N,N,2/28/2021,T2N0Z2,1381385,-114.0931372,51.05929477,"(51.059294766380475, -114.0931371839602)"
