NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Glenmeadows,The Calgary School Division,Public School,Glenmeadows School,4931 Grove Hill Road S.W.,Calgary,AB,Elementary,N,Provincial Data,9123,N,Y,N,N,2/28/2021,T3E4G4,1379112,-114.1589291,51.0348618,"(51.034861798599835, -114.15892905753779)"
Discovering Choices 2,The Calgary School Division,Public School,Discovering Choices 2,#92 116 3800 Memorial Dr NE,Calgary,AB,Senior High,N,Provincial Data,1161,N,N,N,Y,2/28/2021,T2A2K2,1374532,-113.9784098,51.05533875,"(51.055338754642, -113.9784098464004)"
Canyon Meadows,The Calgary School Division,Public School,Canyon Meadows School,395 Canterbury Drive S.W.,Calgary,AB,Elementary,N,Provincial Data,9355,N,Y,N,N,2/28/2021,T2W1J1,1382575,-114.0780912,50.94741036,"(50.947410359630354, -114.078091154179)"
St. Clare,The Calgary Roman Catholic Separate School Division,Separate School,St. Clare,"12455 Coventry Hills Way, N.E.",Calgary,AB,Elementary,N,Provincial Data,1118,N,Y,N,N,2/28/2021,T3K5Z4,1383528,-114.0453956,51.16474253,"(51.16474252576233, -114.04539562092779)"
Capitol Hill,The Calgary School Division,Public School,Capitol Hill School,2210 - 18 Street N.W.,Calgary,AB,Elementary,N,Provincial Data,9209,N,Y,N,N,2/28/2021,T2M3T4,1383006,-114.1039175,51.07207663,"(51.0720766329197, -114.10391753803674)"
Richmond,The Calgary School Division,Public School,Richmond School,2701 - 22 Street S.W. c/o Richmond Elementary Schoo,Calgary,AB,Elementary,N,Provincial Data,9100,N,Y,N,N,2/28/2021,T2T5G5,1000945,-114.1150386,51.03013271,"(51.03013270988322, -114.11503864070598)"
Captain John Palliser,The Calgary School Division,Public School,Captain John Palliser School,1484 Northmount Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,9210,N,Y,N,N,2/28/2021,T2L0G6,1000998,-114.1360161,51.09636485,"(51.09636485434405, -114.13601610820098)"
Bishop Pinkham,The Calgary School Division,Public School,Bishop Pinkham School,3304 - 63 Avenue S.W.,Calgary,AB,Junior High,N,Provincial Data,9645,N,N,Y,N,2/28/2021,T3E5K1,1382910,-114.1306992,50.99726298,"(50.997262984147994, -114.13069924396372)"
Coventry Hills,The Calgary School Division,Public School,Coventry Hills School,12350 Coventry Hills Way NE,Calgary,AB,Elementary,N,Provincial Data,1038,N,Y,N,N,2/28/2021,T3K5S9,1383529,-114.0514137,51.1651804,"(51.16518040401562, -114.0514136639579)"
Father Lacombe,The Calgary Roman Catholic Separate School Division,Separate School,Father Lacombe School,3615 Radcliffe Drive S.E.,Calgary,AB,Senior High,N,Provincial Data,8903,N,N,N,Y,2/28/2021,T2A6B4,1559297,-113.9832447,51.04738092,"(51.04738091995836, -113.98324473162776)"
University of Calgary - Downtown Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2/28/2021,T2P1H9,1417012,-114.0821275,51.0463613,"(51.04636129977132, -114.08212752491288)"
McKenzie Highlands,The Calgary School Division,Public School,McKenzie Highlands School,25 McKenzie Towne Dr. SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,2055,N,Y,Y,N,2/28/2021,T2Z4B7,2365707,-113.9700732,50.91099366,"(50.910993656345894, -113.97007322043322)"
Rundle College Junior High,Rundle College Society,Private School,Rundle College Junior High School,7375 - 17 Avenue SW,Calgary,AB,Junior High,N,Provincial Data,5002,N,N,Y,N,2/28/2021,T3H3W5,1382816,-114.1939221,51.03689411,"(51.036894107397956, -114.19392208231754)"
Bowness High,The Calgary School Division,Public School,Bowness High School,4627 - 77 Street N.W.,Calgary,AB,Senior High,N,Provincial Data,9847,N,N,N,Y,2/28/2021,T3B2N6,1382936,-114.200251,51.09317526,"(51.093175259870236, -114.20025100350331)"
Thomas B Riley,The Calgary School Division,Public School,Thomas B Riley School,3915 - 69 Street N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9611,N,Y,Y,N,2/28/2021,T3B2J9,1383121,-114.1890516,51.08752917,"(51.087529168398795, -114.18905159556309)"
Riverbend,The Calgary School Division,Public School,Riverbend School,65 Rivervalley Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,9386,N,Y,N,N,2/28/2021,T2C3Z7,1382597,-114.0185021,50.97215624,"(50.9721562403216, -114.01850205309456)"
Roland Michener,The Calgary School Division,Public School,Roland Michener School,5958 - 4 Avenue N.E.,Calgary,AB,Elementary,N,Provincial Data,9250,N,Y,N,N,2/28/2021,T2A4B1,1381381,-113.9473997,51.05701939,"(51.05701938727849, -113.9473996997224)"
St. Jude,The Calgary Roman Catholic Separate School Division,Separate School,St. Jude School,730 Woodbine Boulevard S.W.,Calgary,AB,Elementary,N,Provincial Data,8546,N,Y,N,N,2/28/2021,T2W4W4,1382571,-114.1334374,50.94295224,"(50.94295223776885, -114.13343743178538)"
St. Boniface Elementary,The Calgary Roman Catholic Separate School Division,Separate School,St. Boniface Elementary School,927 Lake Sylvan Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,8532,N,Y,N,N,2/28/2021,T2J2P8,1382586,-114.0423413,50.94306371,"(50.94306370755293, -114.04234128576839)"
